Did you respond to the sector survey on the National Lottery Heritage Fund website?:Response,Organisation Type:Response,What is the approximate number of paid employees (full time equivalent) at your business/organisation?:Response,What is the approximate number of volunteers working with your business/organisation?:Response,Area:Archaeology,Area:Archives,Area:Community heritage,Area:Conservation Architecture/Project Management,Area:Gardens and Landscapes,Area:Historic buildings (including industrial heritage sites),Area:Intangible (e.g. cultural traditions people’s memories dialects),Area:Maritime and transport heritage,Area:Places of worship,Area:Planning,Area:Public parks,Area:My organisation does not work in or represent any heritage areas,Area:Other,Geography:All English regions,Geography:East Midlands,Geography:West Midlands,Geography:East of England,Geography:London,Geography:South East of England,Geography:South West of England,Geography:North East of England,Geography:North West of England,Geography:Yorkshire and the Humber,Effects:Loss or postponement of work,Effects:Business-critical staff absence,Effects:Lack of available volunteers,Effects:Postponement/cancellation of planned income-generating or marketing events,Effects:Reduced opening/business hours,Effects:Supply chain problems,Effects:Increased overheads,Effects:Reduced visitor numbers,Effects:Have had to furlough staff,Effects:Have had to lay staff off,Effects:Additional costs e.g.  investment in IT/home working,Effects:Delayed payment by debtors,Measures expected:Coronavirus Job Retention Scheme,Measures expected:Deferring VAT and Self-Assessment payments,Measures expected:Self-employment Income Support Scheme,Measures expected:Statutory Sick Pay relief package for small and medium sized businesses (SMEs),Measures expected:12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Measures expected:Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,Measures expected:Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Measures expected:Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,Measures expected:Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,Measures expected:HMRC Time To Pay Scheme,Measures expected:Awaiting further clarification of the Government support,Continued operation if the current restrictions continue until September 2020 with measures:Response,Continued operation if the current restrictions continue until September 2020 without measures:Response,Level of risk:Response,Opportunities to work better:Response
No,Incorporated private sector organisation in the heritage sector,1-5,0,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,,Planning,,,,,,,East of England,London,South East of England,South West of England,,,,Loss or postponement of work,,,,Reduced opening/business hours,,,,,,,Delayed payment by debtors,,Deferring VAT and Self-Assessment payments,,,,,,,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Incorporated private sector organisation in the heritage sector,11-20,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,Maritime and transport heritage,,Planning,,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,,,Reduced opening/business hours,Supply chain problems,Increased overheads,,Have had to furlough staff,,,Delayed payment by debtors,Coronavirus Job Retention Scheme,,,,,,,,,,,1-2 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Disagree
No,Charity or third sector organisation with a heritage purpose (not for profit),1-5,1-5,,,,Conservation Architecture/Project Management,,,,,,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,1-5,Archaeology,,Community heritage,,,,,,,Planning,,,,,,,East of England,,,,,,,Loss or postponement of work,,,,,,,,,,,,,,Self-employment Income Support Scheme,,,,,,,,,4-6 months,4-6 months,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Incorporated private sector organisation in the heritage sector,21-50,0,,,,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,West Midlands,,,,,North East of England,North West of England,,Loss or postponement of work,Business-critical staff absence,,,,Supply chain problems,Increased overheads,,Have had to furlough staff,,,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,Don’t know,Don’t know,High risk – without major intervention our business/organisation is unlikely to survive,Disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,Archaeology,,,,,,,,,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,Supply chain problems,,,,,,,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,1-2 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
Yes,Charity or third sector organisation with a heritage purpose (not for profit),1-5,11-20,Archaeology,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,,,,,,,,,,,,,North East of England,North West of England,Yorkshire and the Humber,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,3-4 months,3-4 months,High risk – without major intervention our business/organisation is unlikely to survive,Agree
No,Charity or third sector organisation with a heritage purpose (not for profit),1-5,1-5,Archaeology,,Community heritage,,,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,Delayed payment by debtors,,,,,,,,,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,2-3 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
Yes,Faith-based or church organisation,11-20,101-500,,Archives,,,Gardens and Landscapes,,,,Places of worship,,,,,,,,East of England,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,,,,,,,More than 6 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Charity or third sector organisation with a heritage purpose (not for profit),101-500,0,,,,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,South East of England,,,,,Loss or postponement of work,Business-critical staff absence,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,,,,,Awaiting further clarification of the Government support,More than 6 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Strongly agree
No,Sole trader or Partnership dealing in heritage products or services,0 (entirely voluntary),0,Archaeology,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,,Planning,,,,,,,East of England,London,South East of England,South West of England,,,,Loss or postponement of work,,,,,,,,,,,,,Deferring VAT and Self-Assessment payments,,,,,,,,,,More than 6 months,More than 6 months,Don’t know,Strongly disagree
No,Other (please specify),0 (entirely voluntary),0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,,,,,,,,,,London,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,Coronavirus Job Retention Scheme,,,,,,,,,,Awaiting further clarification of the Government support,1-2 months,Less than one month,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
Yes,Faith-based or church organisation,Don’t know,Don’t know,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,,,,,,,,,,South West of England,,,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
Yes,Sole trader or Partnership dealing in heritage products or services,Don’t know,101-500,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,Places of worship,Planning,Public parks,,,,East Midlands,,,,,,,,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,,,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Faith-based or church organisation,0 (entirely voluntary),11-20,,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Incorporated private sector organisation in the heritage sector,21-50,0,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,West Midlands,,,,,,North West of England,,Loss or postponement of work,Business-critical staff absence,,,,Supply chain problems,,,Have had to furlough staff,,,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,HMRC Time To Pay Scheme,,4-6 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Strongly disagree
No,Other (please specify),101-500,51-100,Archaeology,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,Planning,,,,,,,,,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,Reduced visitor numbers,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Faith-based or church organisation,101-500,21-50,,,,,,,,,Places of worship,,,,,,,,,,South East of England,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,,,,,,,4-6 months,4-6 months,High risk – without major intervention our business/organisation is unlikely to survive,Agree
No,Incorporated private sector organisation in the heritage sector,1-5,0,,,,,Gardens and Landscapes,,,,,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,,Supply chain problems,,,,,,,,Deferring VAT and Self-Assessment payments,,,,,,,,,Awaiting further clarification of the Government support,3-4 months,2-3 months,Minimal risk – we fully expect to be able to continue to operate,Disagree
No,Incorporated private sector organisation in the heritage sector,51-100,0,Archaeology,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,Public parks,,,,East Midlands,West Midlands,East of England,London,South East of England,South West of England,,,,Loss or postponement of work,,,,,Supply chain problems,Increased overheads,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,,Awaiting further clarification of the Government support,Don’t know,2-3 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Social Enterprise/Community Interest Company,1-5,11-20,,Archives,Community heritage,,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,Planning,,,,,,West Midlands,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,Coronavirus Job Retention Scheme,,,,,,,,,,,3-4 months,3-4 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Other (please specify),1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,East of England,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,,,,,Delayed payment by debtors,,,,,,,,,,,Awaiting further clarification of the Government support,1-2 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Strongly disagree
No,Incorporated private sector organisation in the heritage sector,11-20,0,Archaeology,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,,,Reduced opening/business hours,Supply chain problems,,,Have had to furlough staff,Have had to lay staff off,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,,,,More than 6 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Charity or third sector organisation with a heritage purpose (not for profit),501+,501+,Archaeology,,,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,,Planning,Public parks,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,Increased overheads,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,,,,,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Faith-based or church organisation,0 (entirely voluntary),1-5,,,,,,,,,Places of worship,,,,,,East Midlands,,,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,Archives,,,,,,,,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Faith-based or church organisation,1-5,1-5,,,,,,,,,Places of worship,,,,,,,,,,,,,North West of England,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Don’t know,Neither agree nor disagree
Yes,Other (please specify),501+,101-500,Archaeology,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,Planning,Public parks,,,,East Midlands,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Sole trader or Partnership dealing in heritage products or services,0 (entirely voluntary),0,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,Archaeology,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,,,,,,,,,South East of England,,,,,Loss or postponement of work,,,,,,,,,,,,,Deferring VAT and Self-Assessment payments,,,,,,,,,,More than 6 months,4-6 months,Minimal risk – we fully expect to be able to continue to operate,Neither agree nor disagree
No,Other (please specify),11-20,101-500,Archaeology,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,Public parks,,,All English regions,,,,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,Supply chain problems,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
Yes,Faith-based or church organisation,21-50,1-5,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,East of England,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,,,,,More than 6 months,2-3 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,Maritime and transport heritage,Places of worship,,,,,,,,,,,,North East of England,,Yorkshire and the Humber,Loss or postponement of work,,,,,,,,,,,,,Deferring VAT and Self-Assessment payments,,,,,,,,,,3-4 months,3-4 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
Yes,Other (please specify),11-20,1-5,Archaeology,Archives,,,,Historic buildings (including industrial heritage sites),,,,Planning,,,,,East Midlands,,,,,,,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Strongly disagree
No,Faith-based or church organisation,21-50,Don’t know,,,,,,,,,Places of worship,,,,,,,,,,,South West of England,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Sole trader or Partnership dealing in heritage products or services,11-20,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,London,,South West of England,,,,Loss or postponement of work,,,,,Supply chain problems,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,,,2-3 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
No,Incorporated private sector organisation in the heritage sector,11-20,0,,,Community heritage,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,North West of England,Yorkshire and the Humber,Loss or postponement of work,Business-critical staff absence,,,Reduced opening/business hours,Supply chain problems,Increased overheads,,Have had to furlough staff,,,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,,Awaiting further clarification of the Government support,1-2 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Charity or third sector organisation with a heritage purpose (not for profit),11-20,1-5,,Archives,Community heritage,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,,,,,,,,,,London,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,,,,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,,,Historic buildings (including industrial heritage sites),,,,,,,,,,West Midlands,,,,South West of England,,,,Loss or postponement of work,,,,,,,,,,,,,,Self-employment Income Support Scheme,,,,,,,,,1-2 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
No,Other (please specify),1-5,21-50,Archaeology,Archives,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,,,,,,,,,,,North East of England,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,,,,,Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,,,,,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Incorporated private sector organisation in the heritage sector,6-10,0,Archaeology,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,Public parks,,,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,,,,,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,,,2-3 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Faith-based or church organisation,101-500,501+,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,East Midlands,West Midlands,,,,,,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Incorporated private sector organisation in the heritage sector,51-100,0,Archaeology,,,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,Maritime and transport heritage,Places of worship,Planning,,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,,,,Supply chain problems,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,,,,Awaiting further clarification of the Government support,2-3 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,North East of England,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,,Have had to furlough staff,,,Delayed payment by debtors,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,HMRC Time To Pay Scheme,,2-3 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,,,Historic buildings (including industrial heritage sites),,,,Planning,,,,,,,,,,,North East of England,,,Loss or postponement of work,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,3-4 months,3-4 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Strongly disagree
No,Incorporated private sector organisation in the heritage sector,6-10,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,,,,,,,,,,,,North West of England,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,,,,,,,3-4 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Agree
No,Charity or third sector organisation with a heritage purpose (not for profit),6-10,51-100,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,,Awaiting further clarification of the Government support,3-4 months,3-4 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),1-5,0,Archaeology,,,,,,,Maritime and transport heritage,,,,,,,,,,,,South West of England,,,,Loss or postponement of work,Business-critical staff absence,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,,Deferring VAT and Self-Assessment payments,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,,,Don’t know,Less than one month,High risk – without major intervention our business/organisation is unlikely to survive,Strongly disagree
No,Charity or third sector organisation with a heritage purpose (not for profit),0 (entirely voluntary),21-50,,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,,,,,,,,,,,South West of England,,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Neither agree nor disagree
No,Faith-based or church organisation,1-5,6-10,,,,,,,,,Places of worship,,,,,,,,,,,,,,Yorkshire and the Humber,,,,,,,,,Have had to furlough staff,,,,,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
